"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JUICYJJIN: and when we find jin yoongi and joon at the lakers game tomorrow",FALSE,0,NA,2021-11-20 09:46:42,FALSE,NA,"1461994399638835200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mygaiyleee",1859,TRUE,FALSE,NA,NA
"2","RT @Lakers: He's back. #LakeShow https://t.co/lQQIuSA7Ej",FALSE,0,NA,2021-11-20 09:46:40,FALSE,NA,"1461994394165338118",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lola_lcmt",1949,TRUE,FALSE,NA,NA
"3","LeBron and the Lakers really trolling y’all they gotta have some fun too. LeBron wanna be seen as the under dog. Th… https://t.co/Ui5pRkyJwz",FALSE,0,NA,2021-11-20 09:46:39,TRUE,NA,"1461994387152510984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdwardValetin",0,FALSE,FALSE,NA,NA
"4","RT @JUICYJJIN: and when we find jin yoongi and joon at the lakers game tomorrow",FALSE,0,NA,2021-11-20 09:46:39,FALSE,NA,"1461994386779262979",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","starfallentae",1859,TRUE,FALSE,NA,NA
"5","RT @JUICYJJIN: and when we find jin yoongi and joon at the lakers game tomorrow",FALSE,0,NA,2021-11-20 09:46:37,FALSE,NA,"1461994380173193221",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","artedailz",1859,TRUE,FALSE,NA,NA
"6","Lakers pissing me off https://t.co/06UrMrRBVG",FALSE,0,NA,2021-11-20 09:46:35,FALSE,NA,"1461994372900147200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b_smeazy",0,FALSE,FALSE,NA,NA
"7","RT @ClayTravis: Boston Celtics player Enes Kanter wore sneakers tonight — while playing against the Lakers — with LeBron James bowing down…",FALSE,0,NA,2021-11-20 09:46:31,FALSE,NA,"1461994355011502081",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BrrrPrinter",3588,TRUE,FALSE,NA,NA
"8","RT @JUICYJJIN: and when we find jin yoongi and joon at the lakers game tomorrow",FALSE,0,NA,2021-11-20 09:46:26,FALSE,NA,"1461994333121310733",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notvaante",1859,TRUE,FALSE,NA,NA
"9","RT @Lakers: Take a closer look at a big #LakersWin in DTLA 👀 https://t.co/Ukgpo63ZeK",FALSE,0,NA,2021-11-20 09:46:23,FALSE,NA,"1461994322778333185",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GunterVDB_1986",446,TRUE,FALSE,NA,NA
"10","RT @Lakers: He's back. #LakeShow https://t.co/lQQIuSA7Ej",FALSE,0,NA,2021-11-20 09:46:22,FALSE,NA,"1461994319473258497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bondamanjack_",1949,TRUE,FALSE,NA,NA
